media_id,media_name,title,published_date,url,category,author
ART012,Fenix Magazin,Braća Kumerle opjevala Franu Tentu,2020-05-15,https://fenix-magazin.de/video-braca-kumerle-opjevala-franu-tentu-poslusajte-rock-pjesmu-o-mladom-hrvatskom-domoljubu/,patriotic_press,
ART018,Zagreb.info,Dečki s Maksimira snimili novi navijački hit za Dinamo,2024-03-21,https://www.zagreb.info/sport/decki-s-maksimira-snimili-novi-navijacki-hit-za-dinamo-poslusajte-sto-bi-se-moglo-oriti-na-stadionu/614255/,patriotic_press,
ART020,Fenix Magazin,Mi smo vjerni Domovini — himna HVO-a prvi put izvedena uživo na Trgu bana Jelačića,2025-11-22,https://fenix-magazin.de/mi-smo-vjerni-domovini-himna-hvo-a-prvi-put-izvedena-uzivo-na-trgu-bana-jelacica/,patriotic_press,
ART017,HOP.com.hr,Braća Kumerle snimili pjesmu o Dinamu,2024-03-14,https://www.hop.com.hr/2024/03/14/braca-kumerle-snimili-pjesmu-o-dinamu/,patriotic_press,
ART019,HOP.com.hr,Krijesovi laži — pjesma koja razotkriva moralnu nakaradnost partizanske slobode,2025-06-22,https://www.hop.com.hr/2025/06/22/krijesovi-lazi-pjesma-koja-razotkriva-moralnu-nakaradnost-partizanske-slobode/,patriotic_press,
ART021,Maxportal.hr,Braća Kumerle — Kreni gardo kao glazbena posveta 35. obljetnici ZNG-a,2026-05,https://www.maxportal.hr/magazin/braca-kumerle-kreni-gardo-kao-glazbena-posveta-35-obljetnici-zng-a,patriotic_press,
ART022,HOP.com.hr,Braća Kumerle — Kreni gardo kao glazbeni odgovor na 35. obljetnicu osnutka ZNG-a,2026-05-04,https://www.hop.com.hr/2026/05/04/braca-kumerle-kreni-gardo-kao-glazbeni-odgovor-na-35-obljetnicu-osnutka-zng-a/,patriotic_press,
ART003,Mixeta.net,Zagrebački band iZLET predstavlja singl U svijetu bajki,2018-10-30,https://www.mixeta.net/2018/10/30/zagrebacki-band-izlet-predstavlja-singl-svijetu-bajki/,music_press,
ART004,Mixeta.net,Pjesmom Zašto šutim iZLET predstavlja novi album,2019-08-02,https://www.mixeta.net/2019/08/02/pjesmom-zasto-sutim-izlet-predstavlja-novi-album/,music_press,
ART013,Dalmatinskiportal.hr,Zagrepčani opjevali Franu Tentu,2020,https://dalmatinskiportal.hr/zivot/zagrepcani-opjevali-franu-tentu/65328,patriotic_press,
ART015,Portal Braniteljski forum,Braća Kumerle izdala snažnu poruku podrške — nova pjesma za BBB u grčkim zatvorima,2023-10-11,https://portal.braniteljski-forum.com/blog/vijesti/braca-kumerle-izdala-snaznu-poruku-podrske-nova-pjesma-za-bad-blue-boyse-u-grckim-zatvorima,patriotic_press,
ART005,Likaclub.net.hr,Čaroban otok – novi ljetni hit grupe iZLET,2018-06-16,https://likaclub.net.hr/caroban-otok-novi-ljetni-hit-grupe-izlet/,music_press,
ART006,Likaclub.net.hr,iZLET-ovci izbacili novi singl i spot za pjesmu Tko si ti,2018-09-05,https://likaclub.net.hr/izlet-ovci-izbacili-novi-singl-i-spot-za-pjesmu-tko-si-ti/,music_press,
ART007,Likaclub.net.hr,Nova pjesma grupe iZlet posvećena je svim uhljebima u Hrvatskoj,2018-09-23,https://likaclub.net.hr/nova-pjesma-grupe-izlet-posvecena-je-svim-uhljebima-u-hrvatskoj/,music_press,
ART008,Likaclub.net.hr,U svijetu bajki – novi singl grupe iZLET,2018-11-02,https://likaclub.net.hr/u-svijetu-bajki-novi-singl-grupe-izlet/,music_press,
ART009,Likaclub.net.hr,Obale se tope – novi singl grupe iZLET,2018-11-27,https://likaclub.net.hr/obale-se-tope-novi-singl-grupe-izlet/,music_press,
ART010,Likaclub.net.hr,Kokosovo mlijeko naslov je nove pjesme benda iZLET,2019-03-11,https://likaclub.net.hr/kokosovo-mlijeko-naslov-je-nove-pjesme-benda-izlet-s-kojom-najavljuju-novi-album/,music_press,
ART011,Likaclub.net.hr,Pogledajte glazbeni spot grupe iZLET za pjesmu Čast,2019-11-11,https://likaclub.net.hr/pogledajte-glazbeni-spot-grupe-izlet-za-pjesmu-cast/,music_press,
ART014,Narod.hr,Braća Kumerle posvetili pjesmu Frani Tenti,2020,https://narod.hr/vjera-i-kultura/kultura/video-braca-kumerle-posvetili-pjesmu-hrvatskom-domoljubu-frani-tenti-koji-je-s-20-godina-umro-u-komunistickom-zatvoru,patriotic_press,
ART016,Narod.hr,Braća Kumerle snimili pjesmu posvećenu BBB zatočenima u grčkim zatvorima,2023-10-10,https://narod.hr/sport/podrska-braca-kumerle-snimili-pjesmu-posvecenu-bad-blue-boysima-zatocenima-u-grckim-zatvorima,patriotic_press,
