video_id,title_current,upload_date,upload_year,duration_seconds,view_count,like_count,comment_count,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
KGnfJ1HZQDk,Za svakog Hrvata koji je daleko od kuće 🇭🇷 #croatia #emotion,2026-04-22,2026,52,37420,681,55,65,C,2025_plus,short,,,raw,
YM5dT_yM31Y,Zašto su svi znatiželјni za braćom Kumerle #shorts #trending,2026-04-21,2026,88,2767,258,21,65,C,2025_plus,short,,,raw,
kT1r0LrGC5I,Dragi Hrvati sretan vam Deseti travanj! ♥️🇭🇷🥂,2026-04-10,2026,19,33556,713,40,65,C,2025_plus,short,,,raw,
n_zMVjNfLIM,Braća Kumerle pjevaju himnu HVO-a | 34. obljetnica osnutka HVO-a! 🇭🇷,2026-04-08,2026,21,13633,476,31,65,C,2025_plus,short,,,raw,
67nFIHWm7LM,iZLET - Glazba koja spaja vjeru i emocije #rock #duhovnost #vjera,2026-03-25,2026,15,8147,230,19,65,C,2025_plus,short,,,raw,
Ed1OlcsmKKM,Grobnica od zlata - što se krije iza simbola 🇭🇷 #shorts,2026-02-16,2026,28,58207,741,78,65,C,2025_plus,short,,,raw,
LZ34ypDnMu4,VLOG 4 Braća Kumerle: Ako ne znaš šta je bilo! 🇭🇷🙋🏻‍♂️🖤 #HRVATSKA,2026-02-03,2026,294,503,76,14,65,C,2025_plus,vlog,,,raw,
Pi3-Lw2-K4U,VLOG 3: Šta nam mogu dušmani? Ništa! 🇭🇷 Ravnoteža Thomspona | Rukometni Heroji & Braća Kumerle,2026-02-03,2026,31,19266,979,33,65,C,2025_plus,short,,,raw,
3KJsVqzwRWk,VLOG 2: Moja zemlja Hrvatska ❤🇭🇷 #HRVATSKA,2026-02-03,2026,25,23681,767,28,65,C,2025_plus,short,,,raw,
zRF8mLgV_qc,VLOG 1: Pobjeda I Zabava U Srcu Hrvatske! 🎊🇭🇷 #ZAGREB,2026-02-03,2026,12,43004,773,37,65,C,2025_plus,short,,,raw,
bppfSqljrHg,Ulični nastup koji je završio na nacionalnoj televiziji 📺 #otvoreni #hrt #aktivizam,2026-01-17,2026,16,7040,317,16,65,C,2025_plus,short,,,raw,
I09KaIV5HXk,Ovo je poruka koju svi mladi trebaju čuti 🇭🇷✝️ #hrvatski,2026-01-14,2026,19,9359,387,18,65,C,2025_plus,short,,,raw,
_jUXsiMeyiM,Braća Kumerle – Ivo Mrvelj | HRT Otvoreno,2025-12-30,2025,32,130624,1336,80,65,A,2025_plus,tv_appearance,,,raw,
Qv5iLfakstE,Ovo je ona minuta prije ludnice – Arena Zagreb u mraku čeka #thompsonconcert,2025-12-28,2025,30,52099,1344,73,65,C,2025_plus,short,,,raw,
