title,slug,year,work_type,confidence,primary_source,notes,discovery_status
Princeza Tea,princeza-tea,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:KbjXcqMWfgg | YT:_caCQpzyALk | YT:cRsWjRp07u4,confirmed
Ponekad,ponekad,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:KfdFt9k58uU,confirmed
Kokosovo mlijeko,kokosovo-mlijeko,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:GJdfwimiOsQ,confirmed
Osmijeh je bitan,osmijeh-je-bitan,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:Rj6nTT66lsY | YT:Axscpf6ak7I,confirmed
Nema Mjesta,nema-mjesta,2018,song,confirmed,discogs,Hitchtone Music | Discogs 35924701 | YT:i3OD34eJkb0,confirmed
Sjever uz odsutne,sjever-uz-odsutne,2023,song,confirmed,discogs,"Braća Kumerle Music | Discogs 35920849 | ISRC QT6EX2529331, UPC 199953974831, orig.2023, rel.2025-11-15 | YT:o02z8L8gOn0",confirmed
Moj Dinamo,moj-dinamo,2024,song,confirmed,discogs,Braća Kumerle Music | Discogs 35923336 | YT:Lr_3YjBUHrw | YT:xp-f5vjciCk,confirmed
Vitez Jure,vitez-jure,2021,song,confirmed,discogs,Braća Kumerle Music | Discogs 35923378 | YT:35VtHrOkcaQ,confirmed
Frane Tente,frane-tente,2020,song,confirmed,discogs,"Braća Kumerle Music | Discogs 35923390 | ISRC QT6F32536381, UPC 199951817604, orig.2020, rel.2025-11-22 | YT:CkHiMqkQdSk | YT:JL4bPYCSyGM | YT:fXSbyF5TO1s | YT:p0rajJ_DghQ | YT:sAWssQ-lNtk",confirmed
Krijesovi Laži,krijesovi-lazi,2025,song,confirmed,discogs,"Braća Kumerle Music | Discogs 35923438 | ISRC QT6F32539173, UPC 199951813477, rel.2025-11-22 | YT:95DeP4Jo1NI | YT:gk5AHkbyLVU | YT:1qQR8e0Me4g",confirmed
Znakovlje Hrvata,znakovlje-hrvata,2021,song,confirmed,discogs,"Braća Kumerle Music | Discogs 35923459 | ISRC QZ6PP2514425, UPC 199943222911, orig.2021, rel.2025-12-14 | YT:0z3kNr5bITg | YT:fEvehiE_Guo | YT:TlyDYvqyjzc | YT:JxlaB1BZ6O0 | YT:eiGY0X8aF3I | YT:cpqf7xFdjCs | YT:hPuyDO1fRaY | YT:AltC9RZWsd4",confirmed
Bogdanovačka Kalvarija,bogdanovacka-kalvarija,2020,song,confirmed,discogs,Braća Kumerle Music | Discogs 35923474 | YT:SNlx6WMI-pA,confirmed
124. Vukovarska Brigada Himna,124-vukovarska-brigada-himna,2021,song,confirmed,discogs,Braća Kumerle Music | Discogs 35923504,confirmed
Božićna Idila,bozicna-idila,2023,song,confirmed,discogs,Braća Kumerle Music | Discogs 37224165 | YT:58jdX24weGE,confirmed
Čovjek moli Boga,covjek-moli-boga,2022,song,confirmed,discogs,Braća Kumerle Music | Discogs 37223433 | YT:6m4huc6E1-c,confirmed
Isuse moj,isuse-moj,2020,song,confirmed,discogs,Braća Kumerle Music | Discogs 37224108 | YT:EVdW9pZ6xck,confirmed
Hodočasnici pjevaju Zdravo Kraljice Mira,hodocasnici-pjevaju-zdravo-kraljice-mira,2026,song,probable,youtube_corpus,YT:lLMMh7aMMMc,candidate
Pozdrav iz Macole,pozdrav-iz-macole,2026,song,probable,youtube_corpus,YT:T3KEYN7_E_Y,candidate
Majko mira moli za nas ✝️🇭🇷Hvaljen Isus i Marija,majko-mira-moli-za-nas-hvaljen-isus-i-marija,2026,song,probable,youtube_corpus,YT:8wKzx55sFTk,candidate
Striče Ivane kod partizanskog spomenika U Metkoviću,strice-ivane-kod-partizanskog-spomenika-u-metkovicu,2026,song,probable,youtube_corpus,YT:P0lshsQhP1A,candidate
A pamćenje naše gori još jače od njihovih KRIJESOVA,a-pamcenje-nase-gori-jos-jace-od-njihovih-krijesova,2026,song,probable,youtube_corpus,YT:pYZPQAfMVc4,candidate
Hodočašće ratnika - VLOG,hodocasce-ratnika-vlog,2026,song,probable,youtube_corpus,YT:g4pyno_c67k | live/performance context,candidate
Hodočašće ratnika ️ Zagreb → Međugorje,hodocasce-ratnika-zagreb-meugorje,2026,song,probable,youtube_corpus,YT:fAKym-wrwbA,candidate
Ivo Fabijan Mrvelj - Kreni Gardo,ivo-fabijan-mrvelj-kreni-gardo,2026,song,probable,youtube_corpus,YT:1PVKpbWW1Vs | cover performance,candidate
Za svakog Hrvata koji je daleko od kuće 🇭🇷,za-svakog-hrvata-koji-je-daleko-od-kuce,2026,song,probable,youtube_corpus,YT:KGnfJ1HZQDk,candidate
Zašto su svi znatiželјni za braćom Kumerle,zasto-su-svi-znatizelni-za-bracom-kumerle,2026,song,probable,youtube_corpus,YT:YM5dT_yM31Y,candidate
Dragi Hrvati sretan vam Deseti travanj! ♥️🇭🇷,dragi-hrvati-sretan-vam-deseti-travanj,2026,song,probable,youtube_corpus,YT:kT1r0LrGC5I,candidate
Braća Kumerle pjevaju himnu HVO-a,braca-kumerle-pjevaju-himnu-hvoa,2026,song,probable,youtube_corpus,YT:n_zMVjNfLIM,candidate
Glazba koja spaja vjeru i emocije,glazba-koja-spaja-vjeru-i-emocije,2026,song,probable,youtube_corpus,YT:67nFIHWm7LM,candidate
Grobnica od zlata - što se krije iza simbola 🇭🇷,grobnica-od-zlata-sto-se-krije-iza-simbola,2026,song,probable,youtube_corpus,YT:Ed1OlcsmKKM,candidate
VLOG 4 Braća Kumerle: Ako ne znaš šta je bilo! 🇭🇷‍♂️,vlog-4-braca-kumerle-ako-ne-znas-sta-je-bilo,2026,song,probable,youtube_corpus,YT:LZ34ypDnMu4 | live/performance context,candidate
VLOG 3: Šta nam mogu dušmani? Ništa! 🇭🇷 Ravnoteža Thomspona,vlog-3-sta-nam-mogu-dusmani-nista-ravnoteza-thomspona,2026,song,probable,youtube_corpus,YT:Pi3-Lw2-K4U | live/performance context,candidate
VLOG 2: Moja zemlja Hrvatska ❤🇭🇷,vlog-2-moja-zemlja-hrvatska,2026,song,probable,youtube_corpus,YT:3KJsVqzwRWk | live/performance context,candidate
VLOG 1: Pobjeda I Zabava U Srcu Hrvatske! 🇭🇷,vlog-1-pobjeda-i-zabava-u-srcu-hrvatske,2026,song,probable,youtube_corpus,YT:zRF8mLgV_qc | live/performance context,candidate
Ulični nastup koji je završio na nacionalnoj televiziji,ulicni-nastup-koji-je-zavrsio-na-nacionalnoj-televiziji,2026,song,probable,youtube_corpus,YT:bppfSqljrHg | live/performance context,candidate
Ovo je poruka koju svi mladi trebaju čuti 🇭🇷✝️,ovo-je-poruka-koju-svi-mladi-trebaju-cuti,2026,song,probable,youtube_corpus,YT:I09KaIV5HXk,candidate
Ivo Mrvelj,ivo-mrvelj,2025,song,probable,youtube_corpus,YT:_jUXsiMeyiM | live/performance context,candidate
Ovo je ona minuta prije ludnice – Arena Zagreb u mraku čeka,ovo-je-ona-minuta-prije-ludnice-arena-zagreb-u-mraku-ceka,2025,song,probable,youtube_corpus,YT:Qv5iLfakstE,candidate
Kad zapjevam Strica Ivana partija mi sudi,kad-zapjevam-strica-ivana-partija-mi-sudi,2025,song,probable,youtube_corpus,YT:NaScwMlnNQg,candidate
Striče Igore Zrinja! 🇭🇷,strice-igore-zrinja,2025,song,probable,youtube_corpus,YT:-S2B0VGQg7A,candidate
Mislili su neki! 🇭🇷,mislili-su-neki,2025,song,probable,youtube_corpus,YT:WxqNc6tXmQI,candidate
Sanjam Kupres - Cesta prema Kupresu 🇭🇷,sanjam-kupres-cesta-prema-kupresu,2025,song,probable,youtube_corpus,YT:nqqGF71rwSQ,candidate
Striče Ivane,strice-ivane,2025,song,probable,youtube_corpus,YT:3wsqpwuWEMM | live/performance context | YT:zOVPy32dfIg | YT:S04QjTS23KU | YT:l4g11KCitN0,candidate
Nezavisna Država - Prvi Put na Rivi UŽIVO 🇭🇷,nezavisna-drzava-prvi-put-na-rivi-uzivo,2025,song,probable,youtube_corpus,YT:0JVnfLocwFE | live/performance context,candidate
Thompson - Ne Varaj Me,thompson-ne-varaj-me,2025,song,probable,youtube_corpus,YT:npMipRAT_9s | cover performance,candidate
Kralj Tomislav - Thompson Cover LIVE Split Riva 🇭🇷⚔️,kralj-tomislav-thompson-cover-live-split-riva,2025,song,probable,youtube_corpus,YT:ZnBhOdwZTWg | cover performance,candidate
Mi Smo Vjerni Domovini  HVO Himna Uživo,mi-smo-vjerni-domovini-hvo-himna-uzivo,2025,song,probable,youtube_corpus,YT:n-5LRoDH3rM | live/performance context,candidate
Ovo je pravi Zagreb koji ne vidiš u turističkim vodiču,ovo-je-pravi-zagreb-koji-ne-vidis-u-turistickim-vodicu,2025,song,probable,youtube_corpus,YT:EXwZNokbCvs,candidate
Vratite se prognani U svoj DOM 🇭🇷,vratite-se-prognani-u-svoj-dom,2025,song,probable,youtube_corpus,YT:_8gaqROsmvU,candidate
THOMPSON: Ako ne znaš šta je bilo - RIVA GORI,thompson-ako-ne-znas-sta-je-bilo-riva-gori,2025,song,probable,youtube_corpus,YT:HiRoEUn42L0,candidate
124 Brigada - Heroji Koji Su Branili Hrvatsku 🇭🇷,124-brigada-heroji-koji-su-branili-hrvatsku,2025,song,probable,youtube_corpus,YT:fhTIwiJGbyA,candidate
Hey Brother - Emotivni Akustični Cover,hey-brother-emotivni-akusticni-cover,2025,song,probable,youtube_corpus,YT:dcqmHVzYg6A | cover performance,candidate
Hrvatska Je Tvoja - Nikom Ne Daj Nju 🇭🇷,hrvatska-je-tvoja-nikom-ne-daj-nju,2025,song,probable,youtube_corpus,YT:mNgJvvb8kEw | cover performance,candidate
Što Te Škola Nije Naučila O Hrvatskoj 🇭🇷,sto-te-skola-nije-naucila-o-hrvatskoj,2025,song,probable,youtube_corpus,YT:JIiYUrCzhjE,candidate
Pave Vukelić Pajo Domovinski Rat - Svaku Stopu Hrvatske 🇭🇷,pave-vukelic-pajo-domovinski-rat-svaku-stopu-hrvatske,2025,song,probable,youtube_corpus,YT:uZq_1k61gME,candidate
"Pitanja su opasna, al' ISTINA će doći",pitanja-su-opasna-al-istina-ce-doci,2025,song,probable,youtube_corpus,YT:x0RotC8hnME,candidate
Goli Otok - Kako Su Hrvate Zatvarali Za Domoljubne Pjesme 🇭🇷⛓️,goli-otok-kako-su-hrvate-zatvarali-za-domoljubne-pjesme,2025,song,probable,youtube_corpus,YT:98AqzciLIt4,candidate
Nova Zora Nama Rudi - Moćna Koračnica Hrvatskih Branitelja 🇭🇷⚔️,nova-zora-nama-rudi-mocna-koracnica-hrvatskih-branitelja,2025,song,probable,youtube_corpus,YT:5m7h1jzfM04,candidate
Kralj Tomislav - Himna O Prvom Hrvatskom Kralju 🇭🇷,kralj-tomislav-himna-o-prvom-hrvatskom-kralju,2025,song,probable,youtube_corpus,YT:8gyj7YRXQ7E,candidate
HVO Nas Vodi - Moćna Domoljubna Himna Mostar 🇭🇷,hvo-nas-vodi-mocna-domoljubna-himna-mostar,2025,song,probable,youtube_corpus,YT:f5GlQJPSWtM,candidate
Srce na cesti,srce-na-cesti,2025,song,probable,youtube_corpus,YT:w_m9reBjiWk,candidate
"Premijera ""Diva"" U Tomislavgradu",premijera-diva-u-tomislavgradu,2025,song,probable,youtube_corpus,YT:eB2lRefVKCg,candidate
Gdje sam bio,gdje-sam-bio,2025,song,probable,youtube_corpus,YT:sOKHu9zUoAE | YT:utQwTIvZcxI,candidate
Hrvatsko zajedništvo,hrvatsko-zajednistvo,2025,song,probable,youtube_corpus,YT:lugj2wdXPBk,candidate
Bijeli Križ Bile - Opomena Koja Ne Smije Biti Zaboravljena ️🇭🇷,bijeli-kriz-bile-opomena-koja-ne-smije-biti-zaboravljena,2025,song,probable,youtube_corpus,YT:j-_-WfKcuYs,candidate
Bile Hercegovina - 50.000 Križeva Za Nezaboravljene Heroje ️🇭🇷,bile-hercegovina-50000-krizeva-za-nezaboravljene-heroje,2025,song,probable,youtube_corpus,YT:IiCkXiFkhdE,candidate
MORA BITI HRVATSKI MORA BITI ZRINJSKI,mora-biti-hrvatski-mora-biti-zrinjski,2025,song,probable,youtube_corpus,YT:H1N0U0MKr5w,candidate
iZLET u Ljubuški - Postrojba je meni sve,izlet-u-ljubuski-postrojba-je-meni-sve,2025,song,probable,youtube_corpus,YT:8UJ1xPBVtiQ,candidate
Neće Pasti Srednja Bosna - Moćna Domoljubna Himna HVO 🇭🇷⚔️,nece-pasti-srednja-bosna-mocna-domoljubna-himna-hvo,2025,song,probable,youtube_corpus,YT:UkH_QsSmK5s,candidate
Pjevaj sokole pjesmu pobjede,pjevaj-sokole-pjesmu-pobjede,2025,song,probable,youtube_corpus,YT:xBe2DxeEJFA,candidate
Ne boj se - ovo je Ravnoteža,ne-boj-se-ovo-je-ravnoteza,2025,song,probable,youtube_corpus,YT:M87ZUutXtzM,candidate
Thompson Hipodrom - Ne Boj Se Rogova Backstage 🇭🇷,thompson-hipodrom-ne-boj-se-rogova-backstage,2025,song,probable,youtube_corpus,YT:-HafWnih0bo,candidate
Koja gora Ivo,koja-gora-ivo,2025,song,probable,youtube_corpus,YT:XzUVGYESyKU,candidate
Domoljubni trenutak koji trese srce,domoljubni-trenutak-koji-trese-srce,2025,song,probable,youtube_corpus,YT:zNS2qMCRe6s,candidate
33. godišnjica koju Hercegovina ne zaboravlja,33-godisnjica-koju-hercegovina-ne-zaboravlja,2025,song,probable,youtube_corpus,YT:UJKcztNId3Q,candidate
13. Svibnja 1990. - Dan koji je promijenio sve 🇭🇷,13-svibnja-1990-dan-koji-je-promijenio-sve,2025,song,probable,youtube_corpus,YT:rhvX1FWmqEY,candidate
Ako ne znaš šta je bilo LIVE Imotski 2025,ako-ne-znas-sta-je-bilo-live-imotski-2025,2025,song,probable,youtube_corpus,YT:Uwewyw2emqg | live/performance context,candidate
Lijepa naša domovino 🇭🇷,lijepa-nasa-domovino,2025,song,probable,youtube_corpus,YT:mPqDy4PRfQU | YT:clcAfjeKHQI | YT:wNV81eACo74 | YT:qjs8RLEHJAM | YT:CkKXdThtfnU,candidate
"Imotski Sokolovi ZA SVE ONE KOJIH NEMA, Vazda s nama",imotski-sokolovi-za-sve-one-kojih-nema-vazda-s-nama,2025,song,probable,youtube_corpus,YT:7CM1SPPPpH8,candidate
Ako ne znaš šta je bilo 🇭🇷,ako-ne-znas-sta-je-bilo,2025,song,probable,youtube_corpus,YT:KKBGFRHw418 | live/performance context | YT:KzN79Bwybl0 | YT:JPP811Gd6qc | YT:OwEUWi9tAag,candidate
"Marjane, ća barjak ne viješ",marjane-ca-barjak-ne-vijes,2025,song,probable,youtube_corpus,YT:nCShQ08m4QU,candidate
"Kiše padaju, polja rađaju, djeca sanjaju... Nije nas ostavio Bog",kise-padaju-polja-raaju-djeca-sanjaju-nije-nas-ostavio-bog,2025,song,probable,youtube_corpus,YT:HkAPAIPyt0g,candidate
Bog i Hrvati,bog-i-hrvati,2025,song,probable,youtube_corpus,YT:ug1zQKOQAgo,candidate
Ne Varaj Me,ne-varaj-me,2025,song,probable,youtube_corpus,YT:NWD7Yuy7F4Q | cover performance,candidate
Zagrebu vjerni Hrvatskoj odanj,zagrebu-vjerni-hrvatskoj-odanj,2025,song,probable,youtube_corpus,YT:ongmp4ukpO8,candidate
Osjeti atmosferu – iza kulisa Braće Kumerle,osjeti-atmosferu-iza-kulisa-brace-kumerle,2025,song,probable,youtube_corpus,YT:QliZYvmIiLo,candidate
Hrvatski križari ✝️,hrvatski-krizari,2025,song,probable,youtube_corpus,YT:QbMvUP57U0A,candidate
STOŽERA! Zov planine pod hrvatskom zastavom 🇭🇷,stozera-zov-planine-pod-hrvatskom-zastavom,2025,song,probable,youtube_corpus,YT:o9clAuSdrTM,candidate
La Amour Toujours Remix – Gigi D’Agostino by Braća Kumerle 🇭🇷,la-amour-toujours-remix-gigi-dagostino-by-braca-kumerle,2025,song,probable,youtube_corpus,YT:OxFpTKzKjLA,candidate
HVO nas vodi,hvo-nas-vodi,2024,song,probable,youtube_corpus,YT:z-d9kpyPg2I,candidate
Postrojba je meni sve — Ludvig Pavlović,postrojba-je-meni-sve-ludvig-pavlovic,2024,song,probable,youtube_corpus,YT:AlnROEkOiyU,candidate
Thompson x Braća Kumerle - Čavoglave LIVE Hipodrom 🇭🇷,thompson-x-braca-kumerle-cavoglave-live-hipodrom,2024,song,probable,youtube_corpus,YT:LieYqy3N2mg | live/performance context,candidate
Čavoglave solo – Thompson live,cavoglave-solo-thompson-live,2024,song,probable,youtube_corpus,YT:Sdf4FHGYqy0 | live/performance context,candidate
Da ja nisam dolazio džaba – Braća Kumerle u radnim mandurama,da-ja-nisam-dolazio-dzaba-braca-kumerle-u-radnim-mandurama,2024,song,probable,youtube_corpus,YT:aCgUlI4lDr0,candidate
"O Hrvatske majke što ste propatile, suze Vaše nisu uzaludne bile",o-hrvatske-majke-sto-ste-propatile-suze-vase-nisu-uzaludne-bile,2024,song,probable,youtube_corpus,YT:s21PRbXZTME,candidate
Vilo Velebita,vilo-velebita,2024,song,probable,youtube_corpus,YT:b0Bif-cR0mU | live/performance context | YT:WQKBBdlfxQU,candidate
Rodila me majka Hrvatica,rodila-me-majka-hrvatica,2024,song,probable,youtube_corpus,YT:kP1ZoaZoIl0 | live/performance context | YT:Jp3qagACIrQ,candidate
Mene moja naučila mati 🇭🇷,mene-moja-naucila-mati,2024,song,probable,youtube_corpus,YT:reoBaXn5bS0,candidate
Gradit ćemo zajedno ljepši novi DOM 🇭🇷,gradit-cemo-zajedno-ljepsi-novi-dom,2024,song,probable,youtube_corpus,YT:ziMMzpBfSNo,candidate
SVOJ NAROD HRVAT LJUBI – isječak himne iz DHK,svoj-narod-hrvat-ljubi-isjecak-himne-iz-dhk,2024,song,probable,youtube_corpus,YT:Y-n0aeBZcHs,candidate
Bože čuvaj Hrvatsku - Petar Kumerle,boze-cuvaj-hrvatsku-petar-kumerle,2024,song,probable,youtube_corpus,YT:UutzrUu7DsE,candidate
ZEMLJA DIDE MOG - Braća Kumerle,zemlja-dide-mog-braca-kumerle,2024,song,probable,youtube_corpus,YT:XjxpRZaWCgQ,candidate
Vraćam se Zagrebe tebi - Braća Kumerle,vracam-se-zagrebe-tebi-braca-kumerle,2024,song,probable,youtube_corpus,YT:mgXu_i6Aemo,candidate
"Rajska Djevo, kraljice Hrvata - Braća Kumerle",rajska-djevo-kraljice-hrvata-braca-kumerle,2024,song,probable,youtube_corpus,YT:EWziHN3oFk0,candidate
Igraj Donna,igraj-donna,2024,song,probable,youtube_corpus,YT:IwSwfLdVwEM,candidate
Moj Kupresu legendo Hrvata,moj-kupresu-legendo-hrvata,2024,song,probable,youtube_corpus,YT:o7Rcmbt9OuI,candidate
Bože čuvaj Hrvatsku - Braća Kumerle,boze-cuvaj-hrvatsku-braca-kumerle,2024,song,probable,youtube_corpus,YT:NKT_6XYqDFA | live/performance context,candidate
FILM - Idemo kroz život,film-idemo-kroz-zivot,2024,song,probable,youtube_corpus,YT:DpNWzdt_0C8 | cover performance,candidate
Dubo Remix ⚡ energija koja pokreće,dubo-remix-energija-koja-pokrece,2024,song,probable,youtube_corpus,YT:M5VdBtZh2qA,candidate
Bogdanovci moji 🇭🇷,bogdanovci-moji,2023,song,probable,youtube_corpus,YT:CJ2hgubiQo4,candidate
Hrvatske Gerile - Himna Heroja Vukovara ️🇭🇷,hrvatske-gerile-himna-heroja-vukovara,2023,song,probable,youtube_corpus,YT:ttn9FCTc3PM,candidate
Dotepenci,dotepenci,2022,song,probable,youtube_corpus,YT:6btrsbTtJeM,candidate
Pod ovim nebom,pod-ovim-nebom,2022,song,probable,youtube_corpus,YT:c50YNCfEveM,candidate
Džomba,dzomba,2022,song,probable,youtube_corpus,YT:CScTvW2KtMI,candidate
Himna 124. Vukovarska Brigada ️🇭🇷,himna-124-vukovarska-brigada,2021,song,probable,youtube_corpus,YT:TwXdxN0iMbI,candidate
Hrvatski Trolist,hrvatski-trolist,2021,song,probable,youtube_corpus,YT:ggKfXgO-tqI,candidate
Eric Clapton - This Has Gotta Stop,eric-clapton-this-has-gotta-stop,2021,song,probable,youtube_corpus,YT:rRNezC9CS2A | cover performance,candidate
Neka slatko boli,neka-slatko-boli,2021,song,probable,youtube_corpus,YT:hx0FveDZWXw,candidate
Iron Maiden - Aces high,iron-maiden-aces-high,2021,song,probable,youtube_corpus,YT:dq4DM5n_q0E | cover performance,candidate
Tvoje je pitanje totalno suvišno,tvoje-je-pitanje-totalno-suvisno,2021,song,probable,youtube_corpus,YT:TdmNgEb4Dy8,candidate
Konji od žada,konji-od-zada,2021,song,probable,youtube_corpus,YT:RIMjp8vhOcE,candidate
Doživljaj,dozivljaj,2021,song,probable,youtube_corpus,YT:0VvUpR_IMIY,candidate
Autori nalaze smisao,autori-nalaze-smisao,2021,song,probable,youtube_corpus,YT:z8WtJjLURDc,candidate
Postoji samo jedan Bog,postoji-samo-jedan-bog,2021,song,probable,youtube_corpus,YT:l811vDOLeIw,candidate
Oltar spasa,oltar-spasa,2021,song,probable,youtube_corpus,YT:3gkz1TgqFpU,candidate
Hvalospjev ljubavi,hvalospjev-ljubavi,2021,song,probable,youtube_corpus,YT:HjTyNUoC7pk | cover performance,candidate
Koza u velegradu,koza-u-velegradu,2021,song,probable,youtube_corpus,YT:WzluO7jci3k,candidate
Samo tamo,samo-tamo,2021,song,probable,youtube_corpus,YT:-yytBsUO7vg,candidate
Tvoja njedra,tvoja-njedra,2020,song,probable,youtube_corpus,YT:mnm1PQdDBCA,candidate
Ivo Fabijan Mrvelj - Kad Sklopim Oči,ivo-fabijan-mrvelj-kad-sklopim-oci,2020,song,probable,youtube_corpus,YT:lrb4J1DOy9g | cover performance,candidate
Đani Maršan - Bože čuvaj Hrvatsku,ani-marsan-boze-cuvaj-hrvatsku,2020,song,probable,youtube_corpus,YT:D3AV6rovdtg | cover performance,candidate
Dražen Žanko - Od stoljeća sedmog,drazen-zanko-od-stoljeca-sedmog,2020,song,probable,youtube_corpus,YT:AhoDHz_8T3M | cover performance,candidate
Bojna Čavoglave Cover - Glazbeni Odgovor na Pokušaje Zabrane 🇭🇷,bojna-cavoglave-cover-glazbeni-odgovor-na-pokusaje-zabrane,2020,song,probable,youtube_corpus,YT:96kmdxOyeL4 | cover performance,candidate
"Marjane, Marjane",marjane-marjane,2020,song,probable,youtube_corpus,YT:0EoiPvI0pqI | cover performance,candidate
Toni Ćavar - Hercegovci širom svijeta,toni-cavar-hercegovci-sirom-svijeta,2020,song,probable,youtube_corpus,YT:-2RvRfpKVqM | cover performance,candidate
Samo reci riječ,samo-reci-rijec,2019,song,probable,youtube_corpus,YT:VkML3HTQIsA | cover performance,candidate
Nezavisna Država Hrvatska 🇭🇷 ft. Tomislav Lučić,nezavisna-drzava-hrvatska-ft-tomislav-lucic,2019,song,probable,youtube_corpus,YT:GCW4uYcJTbs,candidate
Ivo Fabijan Mrvelj - Pjesma o Grgi,ivo-fabijan-mrvelj-pjesma-o-grgi,2019,song,probable,youtube_corpus,YT:WCFpIPXpXJc | cover performance,candidate
Hrabrost,hrabrost,2019,song,probable,youtube_corpus,YT:ARk01HV2ic8,candidate
Harambašić/Vilhar - Starčevićeva himna,harambasicvilhar-starceviceva-himna,2019,song,probable,youtube_corpus,YT:xPdDBJqwF0M,candidate
Oliver Dragojević - Trag u beskraju,oliver-dragojevic-trag-u-beskraju,2019,song,probable,youtube_corpus,YT:maMhdXJuvXo | cover performance,candidate
